ra,dec,kepmag,teff,logg,feh,radius,mass,dens
291.137604,36.577381,15.264,5332,4.5,-0.08,0.843,0.82,1.928
290.728668,37.252651,14.246,5830,4.54,-0.14,0.876,0.97,2.036
292.044617,37.37624,13.038,6207,3.963,0.24,2.097,1.47,0.2248
292.469757,37.567791,15.391,5265,4.571,-0.1,0.781,0.83,2.453
291.364777,37.609169,13.562,5099,4.563,0.04,0.786,0.82,2.387
292.421082,37.682819,12.992,6140,4.265,0,1.277,1.09,0.7405
290.296509,37.749489,14.172,5096,4.554,0.08,0.797,0.83,2.306
290.420807,37.851799,11.898,5543,4.568,-0.14,0.813,0.89,2.337
285.661652,37.9645,12.899,5533,4.337,0.18,1.089,0.94,1.026
291.925964,38.014118,14.138,5251,4.494,0,0.849,0.82,1.887
291.976166,38.05508,13.703,5952,4.287,0.06,1.225,1.06,0.8111
291.382233,38.127468,12.722,6015,4.37,-0.12,1.081,1,1.112
285.853668,38.384121,14.001,5376,4.462,0.28,0.94,0.93,1.582
290.413269,38.34375,14.925,5896,4.197,-0.36,1.24,0.88,0.6532
291.34259,38.363129,15.07,4710,4.583,-0.16,0.699,0.68,2.82
291.409454,38.340019,15.855,5817,4.544,-0.14,0.87,0.96,2.063
292.658417,38.34539,14.023,4786,4.612,-0.02,0.71,0.75,2.963
294.433502,38.35545,14.696,5822,4.351,-0.06,1.081,0.96,1.066
285.573975,38.400902,13.803,5779,4.491,0.12,0.956,1.03,1.665
291.607178,38.410389,13.776,5845,4.2,-0.02,1.314,1,0.6194
291.653534,38.494659,15.541,6167,4.444,0.07,1.064,1.15,1.343
292.92276,38.47728,15.035,6020,4.426,-0.18,1.008,0.99,1.359
292.479706,38.514919,15.319,6157,4.224,-0.08,1.33,1.08,0.6469
290.673126,38.69101,13.597,5569,4.474,0.07,0.927,0.94,1.652
291.418304,38.672359,9.931,5669,4.466,-0.18,0.921,0.91,1.64
292.326447,38.657581,13.865,5670,4.387,-0.36,0.95,0.8,1.319
293.804413,38.63913,15.842,4523,4.651,-0.18,0.643,0.67,3.578
287.361816,38.714016,8.224,6131,4.026,-0.15,1.86,1.34,0.2886
290.107178,38.702229,11.584,4991,3.615,0.28,2.935,1.3,0.0724
290.495117,38.795479,12.73,6204,4.269,0.26,1.36,1.26,0.7035
294.110748,38.710232,13.838,5951,4.32,-0.02,1.154,1.01,0.9303
295.421997,38.735691,13.86,5949,4.303,0,1.184,1.03,0.871
291.097229,38.87561,14.002,5767,4.389,-0.12,1.014,0.92,1.24
285.28363,38.947281,15.403,5485,4.556,0.21,0.867,0.99,2.133
295.701111,38.945831,13.358,6053,4.279,0.06,1.26,1.1,0.7737
286.58316,39.077202,13.42,5968,3.972,0.04,1.857,1.18,0.2594
287.975769,39.087181,13.954,6007,4.178,0.07,1.42,1.11,0.5452
293.568146,39.03632,15.368,6102,4.457,0,1.026,1.1,1.433
294.943878,39.032059,15.377,5497,4.486,0.26,0.936,0.98,1.678
296.358673,39.115189,14.82,6100,4.376,-0.12,1.083,1.02,1.126
285.366577,39.280079,14.976,4408,4.65,-0.02,0.65,0.69,3.525
286.079132,39.27832,15.954,3992,4.756,-0.5,0.494,0.51,5.931
291.556946,39.227291,14.028,5670,4.397,0.06,1.022,0.95,1.254
287.891632,39.33913,14.735,4096,4.697,-0.17,0.57,0.59,4.487
291.83432,39.307362,15.862,4345,4.733,-0.86,0.521,0.54,5.328
293.530853,39.315891,14.943,5888,4.504,0.02,0.944,1.04,1.736
286.638397,39.487881,10.734,6270,4.279,-0.04,1.309,1.19,0.7453
288.916443,39.594711,15.151,5918,4.349,-0.22,1.068,0.93,1.076
286.162048,39.678001,14.708,5316,4.613,-0.38,0.719,0.77,2.933
294.192108,39.618999,13.308,6308,4.188,-0.1,1.444,1.17,0.5477
284.032227,39.78133,14.427,4621,4.605,-0.24,0.668,0.66,3.098
285.419617,39.706108,13.781,6188,4.152,-0.08,1.465,1.11,0.4977
288.811951,39.77066,13.828,5527,4.491,-0.08,0.88,0.88,1.808
283.866394,39.898079,15.414,3847,4.727,-0.02,0.532,0.55,5.152
294.710175,39.8251,14.606,6251,4.378,-0.06,1.119,1.09,1.094
291.111877,39.949108,14.247,6038,4.285,-0.16,1.19,0.99,0.8321
296.112579,39.978779,14.804,4611,4.619,0.07,0.699,0.74,3.054
298.215088,39.955101,13.718,6363,4.444,-0.26,1.035,1.08,1.375
288.984558,40.064529,12.287,5845,4.163,0.07,1.436,1.09,0.5131
295.809296,40.008511,15.674,6167,4.444,0.07,1.064,1.15,1.343
288.450653,40.245327,11.529,5884,4.305,-0.22,1.127,0.93,0.9266
290.392731,40.28487,12.365,5952,4.212,-0.08,1.323,1.04,0.6406
295.559418,40.236271,13.595,5737,4.544,-0.06,0.872,0.97,2.06
291.468658,40.343849,13.256,4488,4.646,-0.06,0.655,0.69,3.47
295.933472,40.300571,12.345,6642,4.057,-0.02,1.846,1.42,0.3182
299.224335,40.343182,15.812,5099,4.563,0.04,0.786,0.82,2.387
283.221405,40.421829,15.289,4861,4.574,-0.08,0.732,0.73,2.636
290.944489,40.480042,13.642,5885,4.348,0,1.111,1,1.031
295.785156,40.439548,15.809,5896,4.516,-0.1,0.914,1,1.846
297.795135,40.417709,14.072,5511,4.426,0.2,0.987,0.95,1.386
298.252045,40.496078,14.764,6036,4.326,-0.18,1.131,0.99,0.9621
288.2341,40.520901,14.985,5559,4.47,-0.02,0.914,0.9,1.657
290.358032,40.567741,14.741,5262,4.583,0.21,0.816,0.93,2.407
290.461761,40.562462,15.386,6079,4.495,-0.2,0.945,1.02,1.702
290.581726,40.5774,15.224,5071,4.58,0.16,0.788,0.86,2.479
292.294586,40.591789,15.264,3960,4.685,0.12,0.586,0.6,4.241
294.441772,40.55759,14.84,4721,4.616,0.02,0.706,0.75,3.003
297.069611,40.525131,10.297,5683,4.422,0.04,0.993,0.95,1.366
297.255035,40.54837,12.556,6388,4.244,0.1,1.402,1.26,0.6433
287.897125,40.637821,15.084,5739,4.191,0.3,1.384,1.08,0.5757
288.538666,40.61615,15.565,4952,4.611,-0.1,0.72,0.78,2.924
291.148071,40.669399,13.113,5486,4.449,0.22,0.962,0.95,1.502
294.202148,40.66341,15.208,4965,4.582,0.16,0.773,0.83,2.54
299.50174,40.670799,14.467,5500,4.62,-0.82,0.682,0.71,3.136
282.978973,40.784351,12.119,5923,4.015,-0.07,1.735,1.14,0.3093
291.158783,40.750271,15.66,4988,4.586,0.1,0.766,0.82,2.584
297.07016,40.86879,14.902,4628,4.625,0.02,0.69,0.73,3.135
285.999878,40.919319,14.194,4998,4.575,0.04,0.764,0.8,2.528
288.530823,40.942299,11.525,5680,4.414,0.12,1.016,0.98,1.312
292.171143,40.916309,15.198,5845,4.541,-0.16,0.874,0.97,2.042
292.286072,40.913589,14.731,4202,4.667,-0.2,0.597,0.6,3.992
297.593658,40.977268,14.463,6057,4.352,-0.12,1.11,1.01,1.04
299.139221,40.94902,13.04,5192,4.489,0.18,0.873,0.86,1.814
288.581512,41.089809,12.885,6027,3.971,0.1,1.962,1.32,0.2452
292.162781,41.023239,14.769,5460,4.553,-0.1,0.818,0.87,2.247
292.236755,41.08588,15.855,5325,4.558,0.36,0.863,0.98,2.149
292.872894,41.06427,15.979,3820,4.705,0.12,0.552,0.56,4.72
292.913116,41.060921,15.389,4702,4.592,-0.22,0.686,0.67,2.926
296.356079,41.092751,15.019,27730,5.52,0,0.203,0.5,84.1
297.453735,41.01099,11.353,6635,4.193,-0.04,1.516,1.31,0.5302
288.68869,41.15118,11.018,6169,4.236,0.09,1.424,1.27,0.621
284.409912,41.237461,13.984,5675,4.459,-0.18,0.915,0.88,1.616
290.510468,41.24482,15.381,5839,4.327,-0.28,1.067,0.88,1.023
291.628784,41.208599,13.942,5168,4.566,-0.12,0.769,0.79,2.458
293.626038,41.27282,13.004,6018,4.362,0.21,1.163,1.13,1.016
282.973419,41.32201,13.872,4669,4.61,0,0.701,0.73,2.987
283.192078,41.305389,13.353,5712,4.223,0.48,1.386,1.17,0.6197
283.235809,41.34304,11.818,5931,4.322,-0.24,1.101,0.93,0.9798
285.751465,41.33564,15.549,4650,4.589,-0.04,0.706,0.7,2.824
