rowid,st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_err1,teff_err2,teff_prov,logg,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,dens,dens_err1,dens_err2,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,datalink_dvr
1,q1_q12_stellar,757450,2MASS J19243302+3634385,291.137604,36.577381,15.264,5154,90,-90,Pinsonneault,4.544,0.365,-0.365,Pinsonneault,-0.2,0,0,Pinsonneault,0.774,0.612,-0.612,,,,,,,,1,1,1,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.665,0.021,13.262,0.025,13.118,0.029,000/000757/000757450/dv/kplr000757450-20121029204534_dvr.pdf
2,q1_q17_dr24_stellar,757450,2MASS J19243302+3634385,291.137604,36.577381,15.264,5332,102,-98,SPE51,4.5,0.043,-0.04,TRA51,-0.08,0.16,-0.12,SPE51,0.843,0.051,-0.044,0.82,0.06,-0.04,1.928,0.3021,-0.2618,DSEP,1,1,1,11111111111111100,2015-01-15,0.8752,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,416.053,380.181,365.238,344.535,332.957,308.514,297.041,281.006,264.576,254.731,247.726,242.32,241.326,239.386,13.665,0.021,13.262,0.025,13.118,0.029,000/000757/000757450/dv/kplr000757450-20141002224145_dvr.pdf
3,q1_q16_stellar,757450,2MASS J19243302+3634385,291.137604,36.577381,15.264,5332,102,-98,SPE51,4.5,0.043,-0.04,TRA51,-0.08,0.16,-0.12,SPE51,0.843,0.051,-0.044,0.82,0.06,-0.04,1.928,0.3021,-0.2618,DSEP,1,1,1,11111111111111100,2013-12-03,0.879,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,415.238,384.39,360.84,342.91,325.979,299.198,290.083,274.052,258.072,248.643,244.025,238.877,237.562,237.935,13.665,0.021,13.262,0.025,13.118,0.029,000/000757/000757450/dv/kplr000757450-20130815195353_dvr.pdf
4,q1_q16_stellar,1718189,2MASS J19225488+3715095,290.728668,37.252651,14.246,5830,153,-158,PHO1,4.54,0.029,-0.271,KIC0,-0.14,0.24,-0.28,KIC0,0.876,0.325,-0.067,0.97,0.1,-0.11,2.036,0.3136,-1.238,DSEP,2,3,3,11111111111111100,2013-12-03,0.8793,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,165.279,146.197,132.155,122.078,113.921,102.37,97.504,89.573,81.094,74.695,69.756,66.264,65.13,59.311,13.118,0.022,12.759,0.019,12.732,0.025,001/001718/001718189/dv/kplr001718189-20130815195353_dvr.pdf
5,q1_q12_stellar,1718189,2MASS J19225488+3715095,290.728668,37.252651,14.246,5827,74,-74,Pinsonneault,4.545,0.213,-0.213,Pinsonneault,-0.2,0,0,Pinsonneault,0.878,0.385,-0.385,,,,,,,,2,3,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.118,0.022,12.759,0.019,12.732,0.025,001/001718/001718189/dv/kplr001718189-20121029204534_dvr.pdf
6,q1_q17_dr24_stellar,1718189,2MASS J19225488+3715095,290.728668,37.252651,14.246,5830,153,-158,PHO1,4.54,0.029,-0.271,KIC0,-0.14,0.24,-0.28,KIC0,0.876,0.325,-0.067,0.97,0.1,-0.11,2.036,0.3136,-1.238,DSEP,2,3,3,11111111111111100,2015-01-15,0.8753,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,181.397,159.681,149.244,136.901,129.006,115.788,110.243,102.165,93.383,86.289,80.751,76.315,75.154,68.222,13.118,0.022,12.759,0.019,12.732,0.025,001/001718/001718189/dv/kplr001718189-20141002224145_dvr.pdf
7,q1_q12_stellar,1871056,2MASS J19281070+3722344,292.044617,37.37624,13.038,6235,115,-115,Pinsonneault,3.804,0.171,-0.171,Pinsonneault,-0.2,0,0,Pinsonneault,2.426,0.596,-0.596,,,,,,,,2,2,2,,2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.918,0.022,11.692,0.022,11.591,0.02,001/001871/001871056/dv/kplr001871056-20121029204534_dvr.pdf
8,q1_q16_stellar,1871056,2MASS J19281070+3722344,292.044617,37.37624,13.038,6231,180,-199,PHO1,3.797,0.416,-0.14,KIC0,-0.18,0.28,-0.3,KIC0,2.397,0.596,-1.122,1.32,0.25,-0.32,0.1345,0.5241,-0.05448,DSEP,2,2,2,11111111111111100,2013-12-03,0.8792,"1,426.742",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,83.606,74.902,69.059,64.783,61.443,56.513,54.692,51.873,48.841,46.832,45.335,44.49,44.249,43.316,11.918,0.022,11.692,0.022,11.591,0.02,001/001871/001871056/dv/kplr001871056-20130815195353_dvr.pdf
9,q1_q17_dr24_stellar,1871056,2MASS J19281070+3722344,292.044617,37.37624,13.038,6207,100,-135,SPE59,3.963,0.141,-0.14,SPE59,0.24,0.12,-0.12,SPE59,2.097,0.437,-0.413,1.47,0.12,-0.19,0.2248,0.1621,-0.0897,DSEP,2,2,2,11111111111111100,2015-01-15,0.8751,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,93.269,83.113,78.899,73.817,70.76,65.182,62.914,59.774,56.302,53.875,52.183,51.22,51.063,50.49,11.918,0.022,11.692,0.022,11.591,0.02,001/001871/001871056/dv/kplr001871056-20141002224145_dvr.pdf
10,q1_q17_dr24_stellar,2165002,2MASS J19295274+3734040,292.469757,37.567791,15.391,5265,177,-141,PHO1,4.571,0.033,-0.155,KIC0,-0.1,0.32,-0.28,KIC0,0.781,0.205,-0.062,0.83,0.1,-0.08,2.453,0.416,-1.088,DSEP,2,2,2,11111111111111100,2015-01-15,0.8754,"1,459.789",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,472.7,428.344,410.151,385.71,371.309,341.714,328.734,308.658,286.723,268.482,257.127,248.889,247.752,241.372,13.994,0.03,13.531,0.031,13.548,0.048,002/002165/002165002/dv/kplr002165002-20141002224145_dvr.pdf
